"id";"name";"country";"logo";"short_code";"detail_url"
131;"Myanmar";"Myanmar";"https://api.fifa.com/api/v1/picture/flags-sq-4/mya";"MYA";"https://www.fifa.com/associations/association/MYA"
132;"Namibia";"Namibia";"https://api.fifa.com/api/v1/picture/flags-sq-4/nam";"NAM";"https://www.fifa.com/associations/association/NAM"
133;"Nepal";"Nepal";"https://api.fifa.com/api/v1/picture/flags-sq-4/nep";"NEP";"https://www.fifa.com/associations/association/NEP"
134;"Netherlands";"Netherlands";"https://api.fifa.com/api/v1/picture/flags-sq-4/ned";"NED";"https://www.fifa.com/associations/association/NED"
135;"New Caledonia";"New Caledonia";"https://api.fifa.com/api/v1/picture/flags-sq-4/ncl";"NCL";"https://www.fifa.com/associations/association/NCL"
136;"New Zealand";"New Zealand";"https://api.fifa.com/api/v1/picture/flags-sq-4/nzl";"NZL";"https://www.fifa.com/associations/association/NZL"
137;"Nicaragua";"Nicaragua";"https://api.fifa.com/api/v1/picture/flags-sq-4/nca";"NCA";"https://www.fifa.com/associations/association/NCA"
138;"Niger";"Niger";"https://api.fifa.com/api/v1/picture/flags-sq-4/nig";"NIG";"https://www.fifa.com/associations/association/NIG"
139;"Nigeria";"Nigeria";"https://api.fifa.com/api/v1/picture/flags-sq-4/nga";"NGA";"https://www.fifa.com/associations/association/NGA"
140;"North Macedonia";"North Macedonia";"https://api.fifa.com/api/v1/picture/flags-sq-4/mkd";"MKD";"https://www.fifa.com/associations/association/MKD"
141;"Northern Ireland";"Northern Ireland";"https://api.fifa.com/api/v1/picture/flags-sq-4/nir";"NIR";"https://www.fifa.com/associations/association/NIR"
142;"Norway";"Norway";"https://api.fifa.com/api/v1/picture/flags-sq-4/nor";"NOR";"https://www.fifa.com/associations/association/NOR"
143;"Oman";"Oman";"https://api.fifa.com/api/v1/picture/flags-sq-4/oma";"OMA";"https://www.fifa.com/associations/association/OMA"
144;"Pakistan";"Pakistan";"https://api.fifa.com/api/v1/picture/flags-sq-4/pak";"PAK";"https://www.fifa.com/associations/association/PAK"
145;"Palestine";"Palestine";"https://api.fifa.com/api/v1/picture/flags-sq-4/ple";"PLE";"https://www.fifa.com/associations/association/PLE"
146;"Panama";"Panama";"https://api.fifa.com/api/v1/picture/flags-sq-4/pan";"PAN";"https://www.fifa.com/associations/association/PAN"
147;"Papua New Guinea";"Papua New Guinea";"https://api.fifa.com/api/v1/picture/flags-sq-4/png";"PNG";"https://www.fifa.com/associations/association/PNG"
148;"Paraguay";"Paraguay";"https://api.fifa.com/api/v1/picture/flags-sq-4/par";"PAR";"https://www.fifa.com/associations/association/PAR"
149;"Peru";"Peru";"https://api.fifa.com/api/v1/picture/flags-sq-4/per";"PER";"https://www.fifa.com/associations/association/PER"
150;"Philippines";"Philippines";"https://api.fifa.com/api/v1/picture/flags-sq-4/phi";"PHI";"https://www.fifa.com/associations/association/PHI"
151;"Poland";"Poland";"https://api.fifa.com/api/v1/picture/flags-sq-4/pol";"POL";"https://www.fifa.com/associations/association/POL"
152;"Portugal";"Portugal";"https://api.fifa.com/api/v1/picture/flags-sq-4/por";"POR";"https://www.fifa.com/associations/association/POR"
153;"Puerto Rico";"Puerto Rico";"https://api.fifa.com/api/v1/picture/flags-sq-4/pur";"PUR";"https://www.fifa.com/associations/association/PUR"
154;"Qatar";"Qatar";"https://api.fifa.com/api/v1/picture/flags-sq-4/qat";"QAT";"https://www.fifa.com/associations/association/QAT"
155;"Republic of Ireland";"Republic of Ireland";"https://api.fifa.com/api/v1/picture/flags-sq-4/irl";"IRL";"https://www.fifa.com/associations/association/IRL"
156;"Romania";"Romania";"https://api.fifa.com/api/v1/picture/flags-sq-4/rou";"ROU";"https://www.fifa.com/associations/association/ROU"
157;"Russia";"Russia";"https://api.fifa.com/api/v1/picture/flags-sq-4/rus";"RUS";"https://www.fifa.com/associations/association/RUS"
158;"Rwanda";"Rwanda";"https://api.fifa.com/api/v1/picture/flags-sq-4/rwa";"RWA";"https://www.fifa.com/associations/association/RWA"
159;"Samoa";"Samoa";"https://api.fifa.com/api/v1/picture/flags-sq-4/sam";"SAM";"https://www.fifa.com/associations/association/SAM"
160;"San Marino";"San Marino";"https://api.fifa.com/api/v1/picture/flags-sq-4/smr";"SMR";"https://www.fifa.com/associations/association/SMR"
161;"SÃ£o TomÃ© and PrÃ­ncipe";"SÃ£o TomÃ© and PrÃ­ncipe";"https://api.fifa.com/api/v1/picture/flags-sq-4/stp";"STP";"https://www.fifa.com/associations/association/STP"
162;"Saudi Arabia";"Saudi Arabia";"https://api.fifa.com/api/v1/picture/flags-sq-4/ksa";"KSA";"https://www.fifa.com/associations/association/KSA"
163;"Scotland";"Scotland";"https://api.fifa.com/api/v1/picture/flags-sq-4/sco";"SCO";"https://www.fifa.com/associations/association/SCO"
164;"Senegal";"Senegal";"https://api.fifa.com/api/v1/picture/flags-sq-4/sen";"SEN";"https://www.fifa.com/associations/association/SEN"
165;"Serbia";"Serbia";"https://api.fifa.com/api/v1/picture/flags-sq-4/srb";"SRB";"https://www.fifa.com/associations/association/SRB"
166;"Seychelles";"Seychelles";"https://api.fifa.com/api/v1/picture/flags-sq-4/sey";"SEY";"https://www.fifa.com/associations/association/SEY"
167;"Sierra Leone";"Sierra Leone";"https://api.fifa.com/api/v1/picture/flags-sq-4/sle";"SLE";"https://www.fifa.com/associations/association/SLE"
168;"Singapore";"Singapore";"https://api.fifa.com/api/v1/picture/flags-sq-4/sin";"SIN";"https://www.fifa.com/associations/association/SIN"
169;"Slovakia";"Slovakia";"https://api.fifa.com/api/v1/picture/flags-sq-4/svk";"SVK";"https://www.fifa.com/associations/association/SVK"
170;"Slovenia";"Slovenia";"https://api.fifa.com/api/v1/picture/flags-sq-4/svn";"SVN";"https://www.fifa.com/associations/association/SVN"
171;"Solomon Islands";"Solomon Islands";"https://api.fifa.com/api/v1/picture/flags-sq-4/sol";"SOL";"https://www.fifa.com/associations/association/SOL"
172;"Somalia";"Somalia";"https://api.fifa.com/api/v1/picture/flags-sq-4/som";"SOM";"https://www.fifa.com/associations/association/SOM"
173;"South Africa";"South Africa";"https://api.fifa.com/api/v1/picture/flags-sq-4/rsa";"RSA";"https://www.fifa.com/associations/association/RSA"
174;"South Sudan";"South Sudan";"https://api.fifa.com/api/v1/picture/flags-sq-4/ssd";"SSD";"https://www.fifa.com/associations/association/SSD"
175;"Spain";"Spain";"https://api.fifa.com/api/v1/picture/flags-sq-4/esp";"ESP";"https://www.fifa.com/associations/association/ESP"
176;"Sri Lanka";"Sri Lanka";"https://api.fifa.com/api/v1/picture/flags-sq-4/sri";"SRI";"https://www.fifa.com/associations/association/SRI"
