codigo_pais,logo_url,logo_url,logo_url,Pais,pais_id,region_id
ERI,https://api.fifa.com/api/v1/picture/flags-sq-4/eri,https://api.fifa.com/api/v1/picture/flags-sq-4/eri,https://api.fifa.com/api/v1/picture/flags-sq-4/eri,Eritrea,5e7c693d-20f5-4459-b039-6ec280b712e9,180c304e-079d-4845-95e1-c2a3976914c0
ESP,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,https://api.fifa.com/api/v1/picture/flags-sq-4/esp,Spain,93347d2e-d08b-4715-ac58-981b38c4a681,f5108bc2-6414-428d-afa8-7f6d4c02d153
EST,https://api.fifa.com/api/v1/picture/flags-sq-4/est,https://api.fifa.com/api/v1/picture/flags-sq-4/est,https://api.fifa.com/api/v1/picture/flags-sq-4/est,Estonia,9fdc212c-9b12-42df-995f-2ded13a3cc26,f5108bc2-6414-428d-afa8-7f6d4c02d153
ETH,https://api.fifa.com/api/v1/picture/flags-sq-4/eth,https://api.fifa.com/api/v1/picture/flags-sq-4/eth,https://api.fifa.com/api/v1/picture/flags-sq-4/eth,Ethiopia,26d5f5bd-5641-45f6-8a5e-ba186e4c0c05,180c304e-079d-4845-95e1-c2a3976914c0
FIJ,https://api.fifa.com/api/v1/picture/flags-sq-4/fij,https://api.fifa.com/api/v1/picture/flags-sq-4/fij,https://api.fifa.com/api/v1/picture/flags-sq-4/fij,Fiji,4695a671-39b8-42e6-93d0-2c30452e7a5b,7ac257e8-e9b0-40a0-9371-5dc58e38ffba
FIN,https://api.fifa.com/api/v1/picture/flags-sq-4/fin,https://api.fifa.com/api/v1/picture/flags-sq-4/fin,https://api.fifa.com/api/v1/picture/flags-sq-4/fin,Finland,7777c5a8-c5c5-47f6-baa3-64833190f9e9,f5108bc2-6414-428d-afa8-7f6d4c02d153
FRA,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,France,a9840d2a-f6ef-42db-b8bb-742b855fc6b9,f5108bc2-6414-428d-afa8-7f6d4c02d153
FRO,https://api.fifa.com/api/v1/picture/flags-sq-4/fro,https://api.fifa.com/api/v1/picture/flags-sq-4/fro,https://api.fifa.com/api/v1/picture/flags-sq-4/fro,Faroe Islands,0071deb5-72ab-412c-8e73-2888f3767516,f5108bc2-6414-428d-afa8-7f6d4c02d153
GAB,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,https://api.fifa.com/api/v1/picture/flags-sq-4/gab,Gabon,47664626-b601-4346-9336-f2ca13668776,180c304e-079d-4845-95e1-c2a3976914c0
GAM,https://api.fifa.com/api/v1/picture/flags-sq-4/gam,https://api.fifa.com/api/v1/picture/flags-sq-4/gam,https://api.fifa.com/api/v1/picture/flags-sq-4/gam,Gambia,231349bd-ac7a-4731-9dc1-61328439e964,180c304e-079d-4845-95e1-c2a3976914c0
